name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Kevin Durant","Golden State Warriors",2017-11-11,2017,3202,1610612744,400974935,1,7,58,1,"Jump Shot","2PT Field Goal",17,"Philadelphia 76ers",-169,19,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-11-11,2017,3202,1610612744,400974935,3,10,43,0,"Jump Shot","3PT Field Goal",27,"Philadelphia 76ers",-30,275,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-29,2017,3202,1610612744,400975274,2,1,37,0,"Jump Shot","2PT Field Goal",19,"Charlotte Hornets",-160,112,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-11-11,2017,3202,1610612744,400974935,2,2,10,0,"Jump Shot","2PT Field Goal",16,"Philadelphia 76ers",-108,130,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-11-11,2017,3202,1610612744,400974935,1,10,53,1,"Jump Shot","3PT Field Goal",23,"Philadelphia 76ers",232,36,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-11-11,2017,3202,1610612744,400974935,3,9,20,0,"Jump Shot","3PT Field Goal",27,"Philadelphia 76ers",-22,272,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-12,2017,3202,1610612744,400975592,1,7,33,1,"Jump Shot","2PT Field Goal",16,"Phoenix Suns",-38,164,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-12,2017,3202,1610612744,400975592,1,4,16,1,"Jump Shot","2PT Field Goal",8,"Phoenix Suns",-22,84,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-12,2017,3202,1610612744,400975592,1,5,58,1,"Jump Shot","3PT Field Goal",22,"Phoenix Suns",229,8,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-12,2017,3202,1610612744,400975592,1,10,19,0,"Jump Shot","2PT Field Goal",17,"Phoenix Suns",105,137,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-20,2017,3202,1610612744,400975215,2,4,09,0,"Jump Shot","2PT Field Goal",14,"Memphis Grizzlies",-134,60,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-20,2017,3202,1610612744,400975215,1,7,23,0,"Jump Shot","3PT Field Goal",24,"Memphis Grizzlies",231,67,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-20,2017,3202,1610612744,400975215,1,0,27,0,"Jump Shot","2PT Field Goal",8,"Memphis Grizzlies",-85,16,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-13,2017,3202,1610612744,400975377,4,0,21,1,"Jump Shot","2PT Field Goal",21,"Toronto Raptors",-100,191,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-20,2017,3202,1610612744,400975215,2,4,51,1,"Jump Shot","3PT Field Goal",26,"Memphis Grizzlies",-163,206,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-20,2017,3202,1610612744,400975215,2,3,22,0,"Jump Shot","3PT Field Goal",23,"Memphis Grizzlies",230,47,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-28,2017,3202,1610612744,400975663,1,1,48,1,"Jump Shot","3PT Field Goal",23,"Washington Wizards",-231,46,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-11,2017,3202,1610612744,400975146,4,4,52,1,"Jump Shot","2PT Field Goal",17,"Portland Trail Blazers",-89,153,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-20,2017,3202,1610612744,400975215,3,10,27,0,"Pullup Jump shot","2PT Field Goal",20,"Memphis Grizzlies",-82,188,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-13,2017,3202,1610612744,400975377,4,1,56,1,"Pullup Jump shot","2PT Field Goal",15,"Toronto Raptors",-8,157,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-03-02,2017,3202,1610612744,400975674,1,4,27,1,"Pullup Jump shot","2PT Field Goal",14,"Atlanta Hawks",18,139,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-11-04,2017,3202,1610612744,400974886,1,7,12,1,"Pullup Jump shot","3PT Field Goal",24,"Denver Nuggets",119,219,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-11-04,2017,3202,1610612744,400974886,3,9,33,1,"Pullup Jump shot","2PT Field Goal",19,"Denver Nuggets",-96,167,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-13,2017,3202,1610612744,400975377,3,3,08,1,"Pullup Jump shot","3PT Field Goal",24,"Toronto Raptors",47,244,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-03,2017,3202,1610612744,400975086,3,5,15,1,"Pullup Jump shot","2PT Field Goal",12,"Miami Heat",6,124,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-22,2017,3202,1610612744,400975618,2,4,50,0,"Pullup Jump shot","2PT Field Goal",14,"Los Angeles Clippers",54,132,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-22,2017,3202,1610612744,400975618,2,4,05,0,"Pullup Jump shot","2PT Field Goal",19,"Los Angeles Clippers",-115,157,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-03-02,2017,3202,1610612744,400975674,2,2,55,1,"Pullup Jump shot","2PT Field Goal",18,"Atlanta Hawks",-137,126,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-13,2017,3202,1610612744,400975377,1,0,30,0,"Pullup Jump shot","3PT Field Goal",25,"Toronto Raptors",117,226,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-13,2017,3202,1610612744,400975377,3,2,03,0,"Pullup Jump shot","3PT Field Goal",26,"Toronto Raptors",-136,225,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-13,2017,3202,1610612744,400975377,3,4,38,0,"Pullup Jump shot","2PT Field Goal",10,"Toronto Raptors",-98,46,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-13,2017,3202,1610612744,400975377,3,2,35,1,"Pullup Jump shot","3PT Field Goal",25,"Toronto Raptors",40,248,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-11-13,2017,3202,1610612744,400974950,3,7,38,0,"Pullup Jump shot","3PT Field Goal",25,"Orlando Magic",144,216,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-08,2017,3202,1610612744,400975561,3,0,02,1,"Pullup Jump shot","3PT Field Goal",27,"Dallas Mavericks",106,251,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-08,2017,3202,1610612744,400975561,2,4,18,1,"Pullup Jump shot","3PT Field Goal",22,"Dallas Mavericks",226,26,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-08,2017,3202,1610612744,400975561,3,2,44,1,"Pullup Jump shot","3PT Field Goal",26,"Dallas Mavericks",32,260,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-05,2017,3202,1610612744,400975921,4,11,47,1,"Pullup Jump shot","2PT Field Goal",9,"Indiana Pacers",-87,34,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-10-29,2017,3202,1610612744,400974842,2,6,07,1,"Pullup Jump shot","3PT Field Goal",27,"Detroit Pistons",-57,265,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-10-29,2017,3202,1610612744,400974842,4,5,24,1,"Pullup Jump shot","3PT Field Goal",26,"Detroit Pistons",-78,252,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-10-29,2017,3202,1610612744,400974842,3,5,56,1,"Pullup Jump shot","2PT Field Goal",17,"Detroit Pistons",106,142,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-10-29,2017,3202,1610612744,400974842,4,5,51,1,"Pullup Jump shot","3PT Field Goal",26,"Detroit Pistons",8,261,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-10-21,2017,3202,1610612744,400974784,2,2,21,1,"Pullup Jump shot","2PT Field Goal",15,"Memphis Grizzlies",9,153,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-10-21,2017,3202,1610612744,400974784,2,7,54,1,"Pullup Jump shot","2PT Field Goal",14,"Memphis Grizzlies",60,134,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-10-21,2017,3202,1610612744,400974784,4,4,02,0,"Pullup Jump shot","3PT Field Goal",27,"Memphis Grizzlies",-74,261,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-10-21,2017,3202,1610612744,400974784,1,7,28,0,"Pullup Jump shot","3PT Field Goal",23,"Memphis Grizzlies",232,28,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-10-21,2017,3202,1610612744,400974784,4,3,45,1,"Pullup Jump shot","2PT Field Goal",13,"Memphis Grizzlies",67,122,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-10-21,2017,3202,1610612744,400974784,1,5,58,0,"Pullup Jump shot","2PT Field Goal",18,"Memphis Grizzlies",81,163,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-10-21,2017,3202,1610612744,400974784,3,8,30,0,"Pullup Jump shot","2PT Field Goal",20,"Memphis Grizzlies",130,155,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-03-02,2017,3202,1610612744,400975674,3,3,27,0,"Pullup Jump shot","2PT Field Goal",16,"Atlanta Hawks",-48,156,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-03-02,2017,3202,1610612744,400975674,3,4,30,1,"Pullup Jump shot","2PT Field Goal",15,"Atlanta Hawks",20,157,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-11-06,2017,3202,1610612744,400974899,3,7,41,0,"Pullup Jump shot","3PT Field Goal",26,"Miami Heat",126,230,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-11-06,2017,3202,1610612744,400974899,2,0,02,1,"Pullup Jump shot","2PT Field Goal",14,"Miami Heat",-67,127,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-11-06,2017,3202,1610612744,400974899,1,7,55,0,"Pullup Jump shot","2PT Field Goal",9,"Miami Heat",88,27,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-11-06,2017,3202,1610612744,400974899,1,4,16,0,"Pullup Jump shot","3PT Field Goal",26,"Miami Heat",156,211,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-22,2017,3202,1610612744,400975230,3,10,28,1,"Pullup Jump shot","3PT Field Goal",26,"Los Angeles Lakers",120,240,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-22,2017,3202,1610612744,400975230,3,1,56,1,"Pullup Jump shot","2PT Field Goal",12,"Los Angeles Lakers",49,117,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-22,2017,3202,1610612744,400975230,1,6,24,1,"Pullup Jump shot","2PT Field Goal",13,"Los Angeles Lakers",64,123,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-22,2017,3202,1610612744,400975230,1,8,16,1,"Pullup Jump shot","2PT Field Goal",14,"Los Angeles Lakers",-57,128,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-22,2017,3202,1610612744,400975230,1,3,21,1,"Pullup Jump shot","3PT Field Goal",26,"Los Angeles Lakers",44,263,0,0.00,,0.00,0.00
